date,symbol,close,ema20,ema50,ema200,rsi,atr,atr_pct,signal
2024-06-08,SOLUSDT,160.15,160.15,160.15,160.15,,,,WAIT
2024-06-09,SOLUSDT,161.63,160.29095238095238,160.20803921568628,160.16472636815922,,,,WAIT
2024-06-10,SOLUSDT,162.38,160.48990929705215,160.29321414840447,160.18676889185915,,,,WAIT
2024-06-11,SOLUSDT,147.67,159.26896555447576,159.79818614258468,160.06222392776104,,,,WAIT
2024-06-12,SOLUSDT,158.84,159.22811169214472,159.7606102154245,160.05006249564403,,,,WAIT
2024-06-13,SOLUSDT,146.87,158.05114867384523,159.2550960893294,159.91891759518987,,,,WAIT
2024-06-14,SOLUSDT,143.78,156.69199165728855,158.64822957602237,159.75833135046162,,,,WAIT
2024-06-15,SOLUSDT,145.19,155.59656388040392,158.12045586715877,159.6133728295615,,,,WAIT
2024-06-16,SOLUSDT,148.53,154.92355779655594,157.74435955864274,159.50309051284947,,,,WAIT
2024-06-17,SOLUSDT,141.23,153.6194094349792,157.09673761516655,159.32126871670172,,,,WAIT
2024-06-18,SOLUSDT,136.01,151.94232282212403,156.26980672829728,159.0893157941475,,,,WAIT
2024-06-19,SOLUSDT,136.92,150.51162541049317,155.51099077816798,158.86872558724056,,,,WAIT
2024-06-20,SOLUSDT,133.27,148.86956584758906,154.6387950613771,158.61401189980535,,,,WAIT
2024-06-21,SOLUSDT,131.4,147.2057976716282,153.72746976485251,158.34322571174758,,10.570714285714287,8.044683626875408,WAIT
2024-06-22,SOLUSDT,134.25,145.9719121790922,152.9636474211328,158.10349212257597,31.425702811244975,10.014285714285718,7.459430699654165,SHORT
2024-06-23,SOLUSDT,131.58,144.6012538763215,152.12507301246094,157.83957677807274,28.81116908757582,9.893571428571432,7.519054133281222,SHORT
2024-06-24,SOLUSDT,126.31,142.85922969762422,151.11271720805073,157.52584964595263,26.090414954262243,10.23714285714286,8.104776230815343,SHORT
2024-06-25,SOLUSDT,139.43,142.53263639308858,150.654571435186,157.3457914405203,44.42036836403035,10.11071428571429,7.251462587473491,SHORT
2024-06-26,SOLUSDT,136.88,141.99429006993728,150.11439216321793,157.14215172469423,33.16467341306347,9.247142857142858,6.755656675294315,SHORT
2024-06-27,SOLUSDT,147.77,142.5443576823242,150.02245521564075,157.0488964836525,50.70159027128157,9.43857142857143,6.387339398099363,WAIT
2024-06-28,SOLUSDT,143.23,142.6096569506743,149.75608442287052,156.91139502610372,49.5807287696295,9.722857142857142,6.78828258245978,SHORT
2024-06-29,SOLUSDT,142.68,142.6163562887053,149.4785909160913,156.76978910544597,48.061177197590006,9.655,6.766890944771515,SHORT
2024-06-30,SOLUSDT,143.83,142.7319414040667,149.25707754683282,156.64103498499378,46.24240486088904,9.739999999999998,6.771883473545155,SHORT
2024-07-01,SOLUSDT,148.5,143.2812803179651,149.22738823127074,156.56002966176,56.06743448506093,9.40857142857143,6.335738335738336,WAIT
2024-07-02,SOLUSDT,148.39,143.76782504958746,149.19454947710327,156.47873583427983,61.2956204379562,8.48,5.714670799919133,WAIT
2024-07-03,SOLUSDT,141.68,143.56898456867438,148.89986126231491,156.33148473145118,53.92739273927395,8.663571428571428,6.114886666128902,WAIT
2024-07-04,SOLUSDT,135.4,142.79098603832443,148.37045493830257,156.12321125153625,51.684327059939896,9.012857142857142,6.656467609200252,WAIT
2024-07-05,SOLUSDT,134.93,142.04232070134117,147.84337827405542,155.91233352764039,52.85460132621704,9.623571428571426,7.132269642460109,WAIT
2024-07-06,SOLUSDT,141.88,142.02686158692774,147.60952030252383,155.77270831841014,55.7864401638101,9.754999999999995,6.875528615731601,WAIT
2024-07-07,SOLUSDT,137.07,141.55477953102985,147.19620578085625,155.58661171822695,54.032613486117214,10.12785714285714,7.388821144566382,WAIT
2024-07-08,SOLUSDT,137.43,141.16194338521748,146.8132173188619,155.40594891506052,58.80303989867004,10.392142857142854,7.561771707154809,WAIT
2024-07-09,SOLUSDT,140.52,141.10080591995867,146.5664244828281,155.2578300203833,51.02578580839451,9.997142857142853,7.114391444024233,WAIT
2024-07-10,SOLUSDT,141.18,141.10834821329595,146.35519215016816,155.11775210973272,54.19594067135052,10.214999999999998,7.235444113897151,WAIT
2024-07-11,SOLUSDT,138.45,140.85517219298205,146.04518461486745,154.9519038300339,39.182915506035265,9.647857142857138,6.96847753185781,SHORT
2024-07-12,SOLUSDT,138.85,140.66420341269804,145.76302051232364,154.79168588147635,44.375963020030824,9.323571428571427,6.714851587015793,SHORT
2024-07-13,SOLUSDT,140.37,140.63618404006013,145.55152951184036,154.6481865194716,47.10598847406664,9.274999999999997,6.607537223053357,SHORT
2024-07-14,SOLUSDT,145.9,141.1374998457687,145.56519502117996,154.56113988743706,52.336870625423344,9.345714285714283,6.405561539214724,WAIT
2024-07-15,SOLUSDT,152.94,142.26154747950503,145.85440305956507,154.54500914228845,54.75782254607801,9.597857142857142,6.275570251639298,WAIT
2024-07-16,SOLUSDT,160.98,144.0442572433617,146.44756372389585,154.6090389020667,61.53141601025828,9.82642857142857,6.1041300605221585,WAIT
2024-07-17,SOLUSDT,158.08,145.38099464875583,146.90373769550777,154.6435758284143,66.14808979913352,9.249285714285715,5.851015760555234,WAIT
2024-07-18,SOLUSDT,156.37,146.42756658696956,147.27496366823297,154.66075417838033,72.6898939623458,8.768571428571429,5.607579093541874,WAIT
2024-07-19,SOLUSDT,168.8,148.5582745310677,148.11908274006697,154.80144319153078,79.11294481691593,8.700000000000001,5.154028436018958,WAIT
2024-07-20,SOLUSDT,169.28,150.53177219477553,148.94892263261337,154.9455084334061,76.4990328820116,8.366428571428573,4.942360923575481,WAIT
2024-07-21,SOLUSDT,175.4,152.90017484289214,149.9862197842756,155.1490357126757,86.15355593284286,8.288571428571428,4.725525329858283,WAIT
2024-07-22,SOLUSDT,179.88,155.46968200071194,151.1585248907746,155.39511495931575,87.15210922457553,8.33642857142857,4.634438832237365,WAIT
2024-07-23,SOLUSDT,176.49,157.4716170482632,152.15191607152855,155.6050143129544,81.31638516454817,8.469999999999997,4.79913876140291,WAIT
2024-07-24,SOLUSDT,177.76,159.40384399604764,153.1561546569588,155.82546193173098,81.51274982770504,8.809999999999999,4.956120612061206,WAIT
2024-07-25,SOLUSDT,170.43,160.45395409166215,153.8335603566859,155.97078071847994,75.52681992337169,9.407857142857141,5.520071080711811,WAIT
2024-07-26,SOLUSDT,181.53,162.4611965591229,154.919695244659,156.2251013083458,79.09735478592859,10.418571428571425,5.739311093797954,WAIT
2024-07-27,SOLUSDT,182.52,164.37155879158738,156.00206013702532,156.48674209134737,78.94519983518751,10.657142857142855,5.838890454275068,WAIT
2024-07-28,SOLUSDT,184.11,166.25141033524574,157.10433228851454,156.76160037899567,77.74067082909835,10.71428571428571,5.819502316161919,WAIT
2024-07-29,SOLUSDT,186.95,168.22270458903185,158.27475063014143,157.0619824647768,76.2950363383331,10.818571428571422,5.786879608757113,WAIT
2024-07-30,SOLUSDT,181.01,169.4405422472193,159.16632903680255,157.30027119647056,66.00607319801824,10.798571428571424,5.9657319642955775,LONG
2024-07-31,SOLUSDT,180.08,170.45382393796032,159.98647299614365,157.52693516466488,68.15181518151817,11.064999999999996,6.144491337183471,LONG
2024-08-01,SOLUSDT,162.67,169.71250737244029,160.09170934923606,157.57810993914583,54.12844036697247,12.101428571428569,7.439250366649394,LONG
2024-08-02,SOLUSDT,156.76,168.47893524173168,159.96105408063858,157.56996954174141,41.37288621381482,12.287857142857138,7.838643239893557,WAIT
2024-08-03,SOLUSDT,146.2,166.35713188537628,159.4214049010057,157.45683551645047,35.549711995992965,12.737142857142855,8.712136017197576,WAIT
2024-08-04,SOLUSDT,135.19,163.38883361057853,158.47115372841725,157.235274964048,26.27728613569319,13.081428571428571,9.676328553464437,WAIT
2024-08-05,SOLUSDT,130.44,160.2508494571901,157.3718927978911,156.96865531266442,20.924488355680992,14.440714285714288,11.070771454856093,WAIT
2024-08-06,SOLUSDT,145.9,158.88410188983866,156.9220146489542,156.85851943890657,34.246575342465746,15.045714285714288,10.312347008714385,WAIT
2024-08-07,SOLUSDT,148.46,157.8913302812826,156.5901709372305,156.7749520813055,35.10876194348445,15.067857142857141,10.149439002328668,WAIT
2024-08-08,SOLUSDT,160.6,158.14929882592236,156.74741913577049,156.81301225960098,45.236941564105045,15.251428571428571,9.496530866393881,WAIT
2024-08-09,SOLUSDT,151.13,157.48079417583452,156.5271281892697,156.7564648739333,35.033477747144545,14.751428571428571,9.760754695579019,WAIT
2024-08-10,SOLUSDT,153.96,157.14548044480267,156.42645649557284,156.72863935279966,36.189555125725335,14.780714285714282,9.600360019300002,WAIT
2024-08-11,SOLUSDT,148.73,156.34400611672623,156.12463467221704,156.64905090152803,33.4734678624813,14.87142857142857,9.998943435371862,WAIT
2024-08-12,SOLUSDT,147.58,155.5093388675142,155.78955095958108,156.55881158907502,31.314665401044152,14.744285714285715,9.990707219328982,WAIT
2024-08-13,SOLUSDT,146.08,154.6113065944176,155.4087842552838,156.45454480709418,32.69249826578141,14.574999999999998,9.977409638554215,WAIT
2024-08-14,SOLUSDT,146.7,153.8578488235207,155.0672633040962,156.3574846597599,33.40954274353875,14.495714285714282,9.881195832116076,WAIT
2024-08-15,SOLUSDT,145.95,153.10472036413776,154.70972356668068,156.25392759846878,40.04050512270669,13.407857142857141,9.186609895756863,SHORT
2024-08-16,SOLUSDT,137.91,151.65760413898178,154.05091087779124,156.07140095569795,39.049610781921686,13.029999999999998,9.448190849104488,SHORT
2024-08-17,SOLUSDT,140.18,150.56449898288827,153.5069535884661,155.91327756310395,46.130110568269494,12.629285714285711,9.009334936714017,SHORT
2024-08-18,SOLUSDT,145.8,150.11073717499414,153.20472011440862,155.81264793561039,57.32836027075564,12.243571428571427,8.397511267881637,WAIT
2024-08-19,SOLUSDT,143.86,149.51542887261374,152.83826050207887,155.69371611535556,59.64357574015523,10.301428571428564,7.160731663720675,WAIT
2024-08-20,SOLUSDT,142.16,148.81491183712671,152.41950518827187,155.55905227341174,46.64994625582228,9.455714285714281,6.651459120508077,SHORT
2024-08-21,SOLUSDT,140.36,148.00968213835273,151.9465834161828,155.4078179224325,42.64438794042862,8.968571428571426,6.389691812889303,SHORT
2024-08-22,SOLUSDT,142.63,147.49733145850962,151.58122720378347,155.28067545554265,30.11728258464261,7.957857142857143,5.579371200208332,SHORT
2024-08-23,SOLUSDT,144.4,147.20234751008013,151.29961045069393,155.17241002812432,41.024273139503876,7.394285714285715,5.120696478037198,SHORT
2024-08-24,SOLUSDT,159.46,148.3697429853106,151.6196257271373,155.21507261490916,55.530973451327434,7.942857142857144,4.981096916378492,WAIT
2024-08-25,SOLUSDT,159.35,149.41548174861435,151.92277765940642,155.2562161709797,61.90582959641257,7.734285714285717,4.853646510376979,WAIT
2024-08-26,SOLUSDT,157.64,150.19876920112728,152.14698245707677,155.27993541305952,61.1381753764393,7.481428571428574,4.745894805524343,WAIT
2024-08-27,SOLUSDT,153.75,150.53698165816277,152.20984589013258,155.26471217511863,58.065194532071494,7.5242857142857185,4.8938443670151015,WAIT
2024-08-28,SOLUSDT,144.11,149.92488816690917,151.89220487483328,155.1537200141722,47.710800777797445,7.826428571428577,5.430871259058065,SHORT
2024-08-29,SOLUSDT,146.06,149.55680357958448,151.66349095817316,155.06323523791178,50.09520512376667,7.871428571428576,5.389174703155263,WAIT
2024-08-30,SOLUSDT,133.32,148.01044133390977,150.94413837157813,154.8468846385296,46.32623659356491,8.083571428571435,6.0632848999185684,SHORT
2024-08-31,SOLUSDT,136.63,146.9265897782993,150.3827996119084,154.66562210481288,47.205164541017155,8.180714285714291,5.987494902813651,SHORT
2024-09-01,SOLUSDT,134.29,145.7231050375089,149.75170943104925,154.4628795963073,40.44496098289887,8.144285714285719,6.064700062763958,SHORT
2024-09-02,SOLUSDT,132.54,144.4675712244128,149.0767404337532,154.2447414908714,40.57295136575615,8.330714285714292,6.285434046864563,SHORT
2024-09-03,SOLUSDT,129.8,143.07065967923063,148.32078982850797,154.00151023225578,39.88212180746563,8.401428571428577,6.4725952014087635,SHORT
2024-09-04,SOLUSDT,133.83,142.19059685263724,147.75252356072335,153.80079868765623,44.84283683462328,8.80714285714286,6.580843500816604,SHORT
2024-09-05,SOLUSDT,130.61,141.0876828666718,147.08026773481262,153.57004447185867,40.64737005913478,8.822142857142861,6.754569219158457,SHORT
2024-09-06,SOLUSDT,128.09,139.84980830794115,146.33555135305528,153.31651169104416,37.455776034456235,9.017142857142861,7.039693072950942,SHORT
2024-09-07,SOLUSDT,128.84,138.80125513575626,145.6494512999943,153.0729643110338,19.802761341222876,8.573571428571432,6.654432962256622,WAIT
2024-09-08,SOLUSDT,126.74,137.65256417044614,144.9079041901906,152.81094476565036,19.054849117479577,8.406428571428574,6.632814085078566,WAIT
2024-09-09,SOLUSDT,128.41,136.77231996373698,144.26092755528117,152.5681492953454,22.241215574548903,8.336428571428574,6.492040005785044,WAIT
2024-09-10,SOLUSDT,134.14,136.52162282433346,143.86402843546622,152.38478462573997,32.00587263718111,8.465714285714288,6.311103537881533,SHORT
2024-09-11,SOLUSDT,131.17,136.01194446011124,143.36622339878127,152.17369224140424,36.470096194061036,8.249285714285715,6.289003365316548,SHORT
2024-09-12,SOLUSDT,133.56,135.77842594010065,142.98166561843692,151.9884813733306,37.04931620389557,8.170714285714286,6.117635733538699,SHORT
2024-09-13,SOLUSDT,136.59,135.8557187077101,142.73101206477273,151.83526265319796,54.241245136186784,7.507142857142858,5.496114545093241,WAIT
2024-09-14,SOLUSDT,137.39,136.00184073554723,142.52156061125223,151.69152869644972,51.05438401775803,7.267857142857144,5.289946242708455,WAIT
2024-09-15,SOLUSDT,135.76,135.97880828454274,142.25640137159527,151.53300602285321,52.08038494197566,7.026428571428573,5.175625052613858,WAIT
2024-09-16,SOLUSDT,131.46,135.54844559077677,141.8330130825131,151.33327461964075,48.57444561774025,6.827857142857143,5.193866684053813,SHORT
2024-09-17,SOLUSDT,134.67,135.46478410594088,141.55211060868908,151.16747089208215,56.34941329856582,6.672142857142859,4.954438892955268,WAIT
2024-09-18,SOLUSDT,127.67,134.7224237148989,141.00771411423068,150.93366521156392,42.54598257502418,6.410714285714287,5.021316116326692,SHORT
2024-09-19,SOLUSDT,142.96,135.50695478967043,141.08427434504517,150.85432525921004,61.56583629893239,7.149285714285716,5.0008993524662255,WAIT
2024-09-20,SOLUSDT,147.88,136.68534004779707,141.35077339033754,150.824729982999,67.73615343251481,7.447142857142858,5.035936473588625,WAIT
2024-09-21,SOLUSDT,147.64,137.7286409956259,141.59740972797135,150.79304112744677,67.00434153400869,7.171428571428572,4.857375082246391,WAIT
2024-09-22,SOLUSDT,143.13,138.24305613889962,141.6575113072666,150.71679196199955,64.20523487606172,7.355714285714286,5.139184158257728,WAIT
2024-09-23,SOLUSDT,144.21,138.81133650662346,141.75760890306006,150.6520477633727,63.83537653239932,7.561428571428571,5.24334551794506,WAIT
2024-09-24,SOLUSDT,145.52,139.450256839326,141.90515365195967,150.60098261149835,60.801063022019775,7.383571428571428,5.073922092201365,WAIT
2024-09-25,SOLUSDT,150.42,140.4949942831997,142.23906919502008,150.5991817894934,67.62497711041937,7.302142857142855,4.854502630729195,WAIT
